,nbr of visits,accuracy,recall,f1
0,2,0.9911054637865311,0.07066618261027367,0.13192599355550047
1,102,0.842630791487209,0.7502390028438303,0.7937553804093155
2,202,0.8652712810273114,0.8239184364978508,0.8440886818266999
3,302,0.8108814946172047,0.8319658740243236,0.8212883853686311
4,402,0.8905590385895343,0.8946390754522907,0.8925943945969859
5,502,0.8608910361134049,0.884564651781937,0.8725673013218376
6,602,0.8781399667676707,0.8826647304410985,0.880396534931144
7,702,0.8828760396740074,0.8932232105040234,0.8880194848971948
